,model,fuel,km_driven,resale_val
55,2008,Petrol,"1,02,051","111,60,000"
56,2014,Petrol,"80,199","113,78,000"
57,2008,Diesel,"1,45,072","111,72,000"
58,2014,Diesel,"1,32,720","113,25,000"
59,2008,Petrol,"1,16,846","111,50,000"
60,2012,Diesel,"89,760","113,25,000"
61,2010,Diesel,"1,51,380","112,00,000"
62,2009,Petrol + CNG,"72,197","112,70,000"
63,2013,Petrol,"85,123","112,60,000"
64,2008,Diesel,"2,29,908","111,56,000"
65,2009,Petrol + CNG,"1,04,301","112,20,000"
66,2014,Diesel,"88,018","114,30,000"
67,2009,Diesel,"45,198","112,20,000"
68,2009,Diesel,"2,00,994","112,00,000"
69,2012,Diesel,"91,116","113,60,000"
70,2012,Diesel,"1,01,966","114,50,000"
71,2008,Diesel,"1,01,454","111,90,000"
72,2013,Diesel,"1,30,420","113,50,000"
73,2014,Diesel,"1,03,165","113,50,000"
74,2014,Petrol + CNG,"85,308","115,50,000"
75,2015,Diesel,"1,22,385","114,50,000"
76,2011,Diesel,"75,717","112,45,000"
77,2015,Diesel,"1,26,613","114,40,633"
78,2015,Diesel,"19,616","114,85,000"
79,2011,Diesel,"1,33,776","112,50,000"
80,2011,Petrol + CNG,"98,825","112,55,000"
81,2015,Diesel,"77,189","114,50,000"
82,2009,Petrol + CNG,"83,863","112,45,000"
83,2011,Petrol + CNG,"1,11,511","112,25,000"
84,2013,Diesel,"86,548","114,00,000"
85,2008,Diesel,"59,286","111,50,000"
86,2011,Petrol + CNG,"97,876","111,80,000"
87,2010,Diesel,"91,228","112,50,000"
88,2011,Diesel,"1,58,084","112,50,000"
89,2010,Diesel,"71,028","112,85,000"
90,2012,Diesel,"91,441","113,10,000"
91,2012,Diesel,"66,863","112,15,000"
92,2016,Diesel,"94,841","115,20,000"
93,2008,Diesel,"1,90,915","112,25,000"
94,2016,Diesel,"2,24,786","114,00,000"
95,2010,Petrol + CNG,"70,542","111,83,000"
96,2014,Diesel,"1,70,757","114,00,000"
97,2012,Diesel,"1,23,138","113,75,000"
98,2008,Diesel,"60,226","111,90,000"
99,2011,Diesel,"71,764","112,80,000"
100,2011,Diesel,"1,40,068","113,00,000"
101,2011,Diesel,"1,31,596","112,25,000"
102,2013,Diesel,"1,24,010","113,60,000"
103,2008,Diesel,"85,382","111,75,000"
104,2009,Diesel,"1,37,802","112,10,000"
105,2015,Diesel,"68,507","115,00,000"
106,2008,Petrol + CNG,"1,68,500","112,05,000"
107,2013,Diesel,"2,00,944","112,50,000"
108,2013,Diesel,"1,04,404","113,40,000"
109,2014,Diesel,"1,07,757","114,00,000"
110,2015,Diesel,"85,073","114,50,000"
111,2009,Diesel,"80,059","112,60,000"
112,2011,Diesel,"2,32,511","112,00,000"
113,2010,Diesel,"1,47,402","112,80,000"
114,2009,Diesel,"1,04,704","112,10,000"
115,2014,Diesel,"71,767","114,10,000"
116,2010,Petrol + CNG,"1,03,279","112,80,000"
117,2013,Petrol,"66,075","114,00,000"
118,2014,Diesel,"1,40,588","114,25,000"
119,2014,Diesel,"1,16,483","113,75,000"
120,2008,Diesel,"1,64,658","111,75,000"
121,2012,Diesel,"89,428","113,50,000"
122,2008,Diesel,"96,034","111,70,000"
123,2009,Petrol + CNG,"84,154","112,50,000"
124,2014,Diesel,"1,17,493","115,00,000"
125,2012,Diesel,"1,34,010","114,00,000"
126,2013,Diesel,"70,833","114,00,000"
127,2011,Diesel,"1,03,991","113,00,000"
128,2008,Diesel,"1,05,073","111,50,000"
129,2011,Diesel,"1,10,167","112,50,000"
130,2014,Diesel,"2,06,779","113,50,000"
131,2008,Petrol + CNG,"66,286","111,90,000"
132,2014,Diesel,"86,287","114,30,000"
133,2010,Petrol,"1,28,764","111,85,000"
134,2013,Diesel,"1,29,432","114,25,000"
135,2011,Diesel,"84,059","113,50,000"
136,2011,Diesel,"1,53,257","113,00,000"
137,2014,Diesel,"1,58,023","112,00,000"
138,2008,Diesel,"1,12,097","112,00,000"
139,2010,Diesel,"98,937","112,00,000"
140,2011,Diesel,"72,670","112,60,000"
141,2014,Diesel,"1,15,252","114,50,000"
142,2008,Petrol + CNG,"86,555","112,00,000"
143,2009,Diesel,"95,627","112,00,000"
144,2012,Diesel,"1,49,680","113,00,000"
145,2009,Diesel,"1,83,965","112,00,000"
146,2010,Diesel,"1,39,979","112,60,000"
147,2010,Petrol + CNG,"1,08,759","112,00,000"
148,2011,Petrol + CNG,"88,915","112,25,000"
149,2011,Diesel,"1,21,617","111,90,000"
150,2013,Diesel,"72,665","113,00,000"
151,2014,Diesel,"77,007","114,10,000"
152,2008,Diesel,"71,006","112,00,000"
153,2008,Diesel,"95,959","112,00,000"
154,2012,Diesel,"87,946","113,25,000"
155,2015,Diesel,"97,573","115,50,000"
156,2008,Diesel,"1,53,413","112,00,000"
157,2014,Diesel,"1,13,077","114,05,000"
158,2011,Petrol + CNG,"1,14,907","112,25,000"
159,2013,Diesel,"1,10,424","113,70,000"
160,2014,Diesel,"1,51,989","114,30,000"
161,2015,Diesel,"68,404","115,00,000"
162,2013,Diesel,"91,130","112,80,000"
163,2012,Diesel,"79,970","113,00,000"
164,2016,Diesel,"1,06,035","115,00,000"
165,2012,Diesel,"1,11,811","112,60,000"
166,2013,Diesel,"71,487","114,50,000"
167,2014,Diesel,"92,468","114,00,000"
168,2009,Diesel,"1,68,974","112,00,000"
169,2014,Diesel,"82,869","113,80,000"
170,2015,Diesel,"44,150","115,50,000"
171,2009,Diesel,"1,24,838","111,50,000"
172,2012,Diesel,"94,634","113,10,000"
173,2014,Diesel,"75,198","114,50,000"
174,2013,Diesel,"51,992","114,50,000"
175,2011,Diesel,"92,137","112,70,000"
176,2014,Diesel,"1,52,963","114,00,000"
177,2015,Diesel,"38,746","115,40,000"
178,2014,Petrol + CNG,"81,455","113,75,000"
